prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
8090.0,96.0,0.6487538814544678,0.8676364421844482,9,1,1756801244.3918164,1756801245.908207
7307.0,157.0,0.3158116340637207,2.169405698776245,14,1,1756801245.3025794,1756801247.7877972
7690.0,55.0,1.8496613502502441,2.2857344150543213,6,1,1756801243.8453057,1756801247.9807024
7723.0,121.0,0.34971165657043457,1.897914171218872,17,1,1756801245.8499281,1756801248.0975544
7236.0,75.0,1.6431496143341064,2.6986260414123535,11,1,1756801244.756131,1756801249.0979068
6479.0,102.0,1.2281677722930908,3.718780755996704,10,1,1756801244.5738413,1756801249.52079
7701.0,140.0,0.30327486991882324,2.5656251907348633,22,1,1756801246.7644124,1756801249.6333127
8027.0,170.0,0.3492448329925537,3.0247793197631836,20,1,1756801246.3996427,1756801249.7736678
7553.0,139.0,0.5701782703399658,2.5261154174804688,24,1,1756801247.131381,1756801250.2276752
7908.0,235.0,0.4400827884674072,4.142615079879761,18,1,1756801246.0341454,1756801250.6168432
7018.0,89.0,0.5326437950134277,1.707758903503418,31,1,1756801248.4251711,1756801250.665574
7445.0,202.0,0.6567084789276123,3.657599925994873,25,1,1756801247.315286,1756801251.6295946
7977.0,102.0,0.9223730564117432,1.76462984085083,34,1,1756801248.9749036,1756801251.6619065
9256.0,235.0,0.4923274517059326,4.239826440811157,23,1,1756801246.9482915,1756801251.6804464
7327.0,164.0,0.6277990341186523,2.9335274696350098,32,1,1756801248.6083555,1756801252.1696825
9009.0,166.0,0.7563631534576416,2.9590537548065186,33,1,1756801248.7913551,1756801252.5067728
7906.0,213.0,0.4450197219848633,3.9868743419647217,30,1,1756801248.2410834,1756801252.6729782
8670.0,268.0,0.8398690223693848,4.932983875274658,26,1,1756801247.4977238,1756801253.2705772
8502.0,126.0,1.3383665084838867,2.217515230178833,41,1,1756801250.287702,1756801253.8435843
7292.0,120.0,3.9970273971557617,4.581637859344482,15,1,1756801245.4846978,1756801254.063363
8983.0,153.0,3.4363086223602295,5.957253694534302,13,1,1756801245.1202028,1756801254.5137658
7707.0,107.0,2.4264321327209473,4.219448566436768,28,1,1756801247.8688693,1756801254.5147517
7787.0,155.0,2.8303844928741455,7.689942121505737,7,1,1756801244.027831,1756801254.5481591
7373.0,105.0,3.636507987976074,5.359710216522217,16,1,1756801245.6672466,1756801254.6634653
7710.0,232.0,0.6455020904541016,4.138012647628784,39,1,1756801249.915131,1756801254.6986463
6853.0,259.0,1.0466172695159912,4.734503746032715,35,1,1756801249.1637576,1756801254.944879
